"REF_DATE","GEO","DGUID","Age group","Sex","High blood pressure","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889055","1.1.2.1.1","11780342","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889056","1.1.2.1.2","11780342","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889057","1.1.2.1.3","11780342","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009375","1.1.2.1.4","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Percent","Percent","239","units ","0","v4009376","1.1.2.1.5","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009377","1.1.2.1.6","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009378","1.1.2.1.7","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Total population for the variable high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009379","1.1.2.1.8","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Number of persons","Persons","249","units ","0","v1889058","1.1.2.2.1","861818","","","","0"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889059","1.1.2.2.2","780973","","","","0"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889060","1.1.2.2.3","942663","","","","0"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009383","1.1.2.2.4","4.8","","","","1"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Percent","Percent","239","units ","0","v4009384","1.1.2.2.5","7.3","","","","1"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009385","1.1.2.2.6","6.6","","","","1"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009386","1.1.2.2.7","8.0","","","","1"
"1994","Canada","","Total, 12 years and over","Males","With high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009387","1.1.2.2.8","4.8","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Number of persons","Persons","249","units ","0","v1889061","1.1.2.3.1","10904594","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889062","1.1.2.3.2","10823262","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889063","1.1.2.3.3","10985925","","","","0"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009391","1.1.2.3.4","0.4","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Percent","Percent","239","units ","0","v4009392","1.1.2.3.5","92.6","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009393","1.1.2.3.6","91.9","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009394","1.1.2.3.7","93.3","","","","1"
"1994","Canada","","Total, 12 years and over","Males","Without high blood pressure","Coefficient of variation for percent","Percent","239","units ","0","v4009395","1.1.2.3.8","0.4","","","","1"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Number of persons","Persons","249","units ","0","v1889064","1.1.2.4.1","","F","","","0"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889065","1.1.2.4.2","","F","","","0"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889066","1.1.2.4.3","","F","","","0"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Coefficient of variation for number of persons","Persons","249","units ","0","v4009399","1.1.2.4.4","","F","","","1"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Percent","Percent","239","units ","0","v4009400","1.1.2.4.5","","F","","","1"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Low 95% confidence interval - percent","Percent","239","units ","0","v4009401","1.1.2.4.6","","F","","","1"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","High 95% confidence interval - percent","Percent","239","units ","0","v4009402","1.1.2.4.7","","F","","","1"
"1994","Canada","","Total, 12 years and over","Males","High blood pressure, not stated","Coefficient of variation for percent","Percent","239","units ","0","v4009403","1.1.2.4.8","","F","","","1"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Number of persons","Persons","249","units ","0","v1889067","1.1.3.1.1","12168275","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Low 95% confidence interval -  number of persons","Persons","249","units ","0","v1889068","1.1.3.1.2","12168275","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","High 95% confidence interval - number of persons","Persons","249","units ","0","v1889069","1.1.3.1.3","12168275","","","","0"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Coefficient of variation for number of persons","Persons","249","units ","0","v4009407","1.1.3.1.4","0.0","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Percent","Percent","239","units ","0","v4009408","1.1.3.1.5","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","Low 95% confidence interval - percent","Percent","239","units ","0","v4009409","1.1.3.1.6","100.0","","","","1"
"1994","Canada","","Total, 12 years and over","Females","Total population for the variable high blood pressure","High 95% confidence interval - percent","Percent","239","units ","0","v4009410","1.1.3.1.7","100.0","","","","1"
